Id,Name,Quality,Slot,Type,SubType,Texture,Source,Zone,Dungeon Difficulty,Phase,Class,Spec,BIS Status/arguments,Link,SourceType,SourceNumber,SourceFaction
31297,Robe of the Crimson Order,,Chest,,,,World Drop,,,0,Druid,Balance,Alt,https://wowhead.com/item=31297,Drop,0,B
29341,Auchenai Anchorite's Robe,,Chest,,,,Everything Will Be Alright,Auchenai Crypts,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=29341,Quest,0,B
31340,Will of Edward the Odd,,Chest,,,,World Drop,,,0,Druid,Balance,Alt,https://wowhead.com/item=31340,Drop,0,B
28342,Warp Infused Drape,,Chest,,,,Warp Splinter,The Botanica,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=28342,Drop,0,B
28140,Gladiator's Wyrmhide Tunic,,Chest,,,,Honor Points,PvP Vendor,,0,Druid,Balance,Alt,https://wowhead.com/item=28140,PvP,?,B
29129,Anchorite's Robes,,Chest,,,,The Aldor,Honored,,0,Druid,Balance,Alt,https://wowhead.com/item=29129,Reputation,0,B
28229,Incanter's Robe,,Chest,,,,Warp Splinter,The Botanica,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=28229,Drop,0,B
29523,Windhawk Bracers,,Wrist,,,,Leatherworking (375),35588,,0,Druid,Balance,BIS,https://wowhead.com/item=29523,Profession,0,B
24250,Bracers of Havok,,Wrist,,,,Tailoring (350),31435,,0,Druid,Balance,BIS,https://wowhead.com/item=24250,Profession,0,B
27462,Crimson Bracers of Gloom,,Wrist,,,,Omor the Unscarred,Hellfire Ramparts (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=27462,Drop,0,B
28411,General's Silk Cuffs,,Wrist,,,,Honor Points,PvP Vendor,,0,Druid,Balance,Alt,https://wowhead.com/item=28411,PvP,?,B
29240,Bands of Negation,,Wrist,,,,Nexus-Prince Shaffar,Mana Tombs (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=29240,Drop,0,B
21186,Rockfury Bracers,,Wrist,,,,Cenarion Circle,Revered,,0,Druid,Balance,Alt,https://wowhead.com/item=21186,Reputation,0,B
28174,Shattrath Wraps,,Wrist,,,,The Soul Devices,Shadow Labyrinth,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=28174,Quest,0,B
29255,Bands of Rarefied Magic,,Wrist,,,,Warchief Kargath Bladefist,The Shattered Halls (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=29255,Drop,0,B
21847,Spellfire Gloves,,Hands,,,,Tailoring (365),26753,,0,Druid,Balance,BIS,https://wowhead.com/item=21847,Profession,0,B
27493,Gloves of the Deadwatcher,,Hands,,,,Shirrak the Dead Watcher,Auchenai Crypts (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=27493,Drop,0,B
27537,Gloves of Oblivion,,Hands,,,,Warchief Kargath Bladefist,The Shattered Halls,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=27537,Drop,0,B
24450,Manaspark Gloves,,Hands,,,,Hungarfen,The Underbog,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=24450,Drop,0,B
31149,Gloves of Pandemonium,,Hands,,,,World Drop,,,0,Druid,Balance,Alt,https://wowhead.com/item=31149,Drop,0,B
27465,Mana-Etched Gloves,,Hands,,,,Omor the Unscarred,Hellfire Ramparts (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=27465,Drop,0,B
29317,Tempest's Touch,,Hands,,,,Return to Andormu,Caverns of Time,,0,Druid,Balance,Alt,https://wowhead.com/item=29317,Quest,0,B
24452,Starlight Gauntlets,,Hands,,,,Hungarfen,The Underbog,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=24452,Drop,0,B
21846,Spellfire Belt,,Waist,,,,Tailoring (355),26752,,0,Druid,Balance,BIS,https://wowhead.com/item=21846,Profession,0,B
24256,Girdle of Ruination,,Waist,,,,Tailoring (365),31443,,0,Druid,Balance,Alt,https://wowhead.com/item=24256,Profession,0,B
29524,Windhawk Belt,,Waist,,,,Leatherworking (375),35587,,0,Druid,Balance,Alt,https://wowhead.com/item=29524,Profession,0,B
29241,Belt of Depravity,,Waist,,,,Harbinger Skyriss,The Arcatraz (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=29241,Drop,0,B
27843,Glyph-Lined Sash,,Waist,,,,Nexus-Prince Shaffar,Mana Tombs (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=27843,Drop,0,B
31461,A'dal's Gift,,Waist,,,,How to Break Into the Arcatraz,Tempest Keep,,0,Druid,Balance,Alt,https://wowhead.com/item=31461,Quest,0,B
24395,Mindfire Waistband,,Waist,,,,Keli'dan the Breaker,The Blood Furnace,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=24395,Drop,0,B
24262,Spellstrike Pants,,Legs,,,,Tailoring (375),31452,,0,Druid,Balance,BIS,https://wowhead.com/item=24262,Profession,0,B
29141,Tempest Leggings,,Legs,,,,The Mag'har,Revered,,0,Druid,Balance,Alt,https://wowhead.com/item=29141,Reputation,0,H
29142,Kurenai Kilt,,Legs,,,,Kurenai,Revered,,0,Druid,Balance,Alt,https://wowhead.com/item=29142,Reputation,0,A
30531,Breeches of the Occultist,,Legs,,,,Aeonus,The Black Morass (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=30531,Drop,0,B
29343,Haramad's Leggings of the Third Coin,,Legs,,,,Undercutting the Competition,Mana-Tombs,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=29343,Quest,0,B
30532,Kirin Tor Master's Trousers,,Legs,,,,Murmur,Shadow Labyrinth (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=30532,Drop,0,B
28212,Aran's Sorcerous Slacks,,Legs,,,,Lieutenant Drake,Old Hillsbrad Foothills (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=28212,Drop,0,B
27492,Moonchild Leggings,,Legs,,,,Broggok,The Blood Furnace (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=27492,Drop,0,B
28185,Khadgar's Kilt of Abjuration,,Legs,,,,Temporus,The Black Morass,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=28185,Drop,0,B
27821,Extravagant Boots of Malice,,Feet,,,,Tavarok,Mana Tombs (H),Heroic,0,Druid,Balance,BIS,https://wowhead.com/item=27821,Drop,0,B
28406,Sigil-Laced Boots,,Feet,,,,Harbinger Skyriss,The Arcatraz,Normal,0,Druid,Balance,BIS,https://wowhead.com/item=28406,Drop,0,B
28179,Shattrath Jumpers,,Feet,,,,Into the Heart of the Labyrinth,Shadow Labyrinth,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=28179,Quest,0,B
28410,General's Silk Footguards,,Feet,,,,Honor Points,PvP Vendor,,0,Druid,Balance,Alt,https://wowhead.com/item=28410,PvP,?,B
29808,Shimmering Azure Boots,,Feet,,,,Securing the Celestial Ridge,Netherstorm,,0,Druid,Balance,Alt,https://wowhead.com/item=29808,Quest,0,B
30519,Boots of the Nexus Warden,,Feet,,,,The Flesh Lies.,Netherstorm,,0,Druid,Balance,Alt,https://wowhead.com/item=30519,Quest,0,B
29258,Boots of Ethereal Manipulation,,Feet,,,,Warp Splinter,The Botanica (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=29258,Drop,0,B
27848,Embroidered Spellpyre Boots,,Feet,,,,Broggok,The Blood Furnace (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=27848,Drop,0,B
27914,Moonstrider Boots,,Feet,,,,Darkweaver Syth,Sethekk Halls,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=27914,Drop,0,B
29242,Boots of Blasphemy,,Feet,,,,Quagmirran,The Slave Pens (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=29242,Drop,0,B
28134,Brooch of Heightened Potential,,Neck,,,,Blackheart the Inciter,Shadow Labyrinth,Normal,0,Druid,Balance,BIS,https://wowhead.com/item=28134,Drop,0,B
27758,Hydra-fang Necklace,,Neck,,,,Ghaz'an,The Underbog,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=27758,Drop,0,B
31692,Natasha's Ember Necklace,,Neck,,,,The Hound-Master,Blade's Edge Mountains,,0,Druid,Balance,Alt,https://wowhead.com/item=31692,Quest,0,B
28245,Pendant of Dominance,,Neck,,,,"Eye of the Storm Marks"" & ""Honor Points",PvP Vendor,,0,Druid,Balance,Alt,https://wowhead.com/item=28245,PvP,?,B
29333,Torc of the Sethekk Prophet,,Neck,,,,Brother Against Brother,Sethekk Halls,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=29333,Quest,0,B
24462,Luminous Pearls of Insight,,Neck,,,,Ghaz'an,The Underbog,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=24462,Drop,0,B
29172,Ashyen's Gift,,Ring,,,,Cenarion Expedition,Exalted,,0,Druid,Balance,BIS,https://wowhead.com/item=29172,Reputation,0,B
28227,Sparking Arcanite Ring,,Ring,,,,Epoch Hunter,Old Hillsbrad Foothills (H),Heroic,0,Druid,Balance,BIS,https://wowhead.com/item=28227,Drop,0,B
21709,Ring of the Fallen God,,Ring,,,,The Savior of Kalimdor,Ahn'Qiraj,,0,Druid,Balance,Alt,https://wowhead.com/item=21709,Quest,0,B
23031,Band of the Inevitable,,Ring,,,,Noth the Plaguebringer,Naxxramas,,0,Druid,Balance,Alt,https://wowhead.com/item=23031,Drop,0,B
28555,Seal of the Exorcist,,Ring,,,,Spirit Shard,Spirit Sage Gartok/Spirit Sage Zran,,0,Druid,Balance,Alt,https://wowhead.com/item=28555,Dungeon Token,50,B
29352,Cobalt Band of Tyrigosa,,Ring,,,,Nexus-Prince Shaffar,Mana Tombs (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=29352,Drop,0,B
29367,Ring of Cryptic Dreams,,Ring,,,,Badge of Justice,G'eras,,0,Druid,Balance,Alt,https://wowhead.com/item=29367,Dungeon Token,25,B
29126,Seer's Signet,,Ring,,,,The Scryers,Exalted,,0,Druid,Balance,Alt,https://wowhead.com/item=29126,Reputation,0,B
31075,Evoker's Mark of the Redemption,,Ring,,,,Dissension Amongst the Ranks.,Shadowmoon Valley,,0,Druid,Balance,Alt,https://wowhead.com/item=31075,Quest,0,B
30366,Manastorm Band,,Ring,,,,Shutting Down Manaforge Ara,Netherstorm,,0,Druid,Balance,Alt,https://wowhead.com/item=30366,Quest,0,B
31290,Band of Dominion,,Ring,,,,World Drop,,,0,Druid,Balance,Alt,https://wowhead.com/item=31290,Drop,0,B
28394,Ryngo's Band of Ingenuity,,Ring,,,,Wrath-Scryer Soccothrates,The Arcatraz,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=28394,Drop,0,B
29370,Icon of the Silver Crescent,,Trinket,,,,Badge of Justice,G'eras,,0,Druid,Balance,BIS,https://wowhead.com/item=29370,Dungeon Token,41,B
27683,Quagmirran's Eye,,Trinket,,,,Quagmirran,The Slave Pens (H),Heroic,0,Druid,Balance,BIS,https://wowhead.com/item=27683,Drop,0,B
29132,Scryer's Bloodgem,,Trinket,,,,The Scryers,Revered,,0,Druid,Balance,Alt,https://wowhead.com/item=29132,Reputation,0,B
19379,Neltharion's Tear,,Trinket,,,,Nefarian,Blackwing Lair,,0,Druid,Balance,Alt,https://wowhead.com/item=19379,Drop,0,B
23046,The Restrained Essence of Sapphiron,,Trinket,,,,Sapphiron,Naxxramas,,0,Druid,Balance,Alt,https://wowhead.com/item=23046,Drop,0,B
28223,Arcanist's Stone,,Trinket,,,,Epoch Hunter,Old Hillsbrad Foothills (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=28223,Drop,0,B
26055,Oculus of the Hidden Eye,,Trinket,,,,Shirrak the Dead Watcher,Auchenai Crypts,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=26055,Drop,0,B
30340,Starkiller's Bauble,,Trinket,,,,The Horrors of Pollution,Netherstorm,,0,Druid,Balance,Alt,https://wowhead.com/item=30340,Quest,0,B
12930,Briarwood Reed,,Trinket,,,,Jed Runewatcher,Blackrock Spire,,0,Druid,Balance,Alt,https://wowhead.com/item=12930,Drop,0,B
25936,Terokkar Tablet of Vim,,Trinket,,,,Torgos!,Terokkar Forest,,0,Druid,Balance,Alt,https://wowhead.com/item=25936,Quest,0,B
25620,Ancient Crystal Talisman,,Trinket,,,,A Spirit Ally?,Zangarmarsh,,0,Druid,Balance,Alt,https://wowhead.com/item=25620,Quest,0,H
25619,Glowing Crystal Insignia,,Trinket,,,,Overlord Gorefist,Zangarmarsh,,0,Druid,Balance,Alt,https://wowhead.com/item=25619,Quest,0,A
23554,Eternium Runed Blade,,Main Hand,,,,Blacksmithing (365),29698,,0,Druid,Balance,BIS,https://wowhead.com/item=23554,Profession,0,B
30832,Gavel of Unearthed Secrets,,Main Hand,,,,Lower City,Exalted,,0,Druid,Balance,BIS,https://wowhead.com/item=30832,Reputation,0,B
27543,Starlight Dagger,,Main Hand,,,,Mennu the Betrayer,The Slave Pens (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=27543,Drop,0,B
28931,High Warlord's Spellblade,,Main Hand,,,,Honor Points,PvP Vendor,,0,Druid,Balance,Alt,https://wowhead.com/item=28931,PvP,?,B
27937,Sky Breaker,,Main Hand,,,,Avatar of the Martyred,Auchenai Crypts (Heroic),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=27937,Drop,0,B
27741,Bleeding Hollow Warhammer,,Main Hand,,,,Quagmirran,The Slave Pens (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=27741,Drop,0,B
27868,Runesong Dagger,,Main Hand,,,,Warbringer O'mrogg,The Shattered Halls,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=27868,Drop,0,B
29271,Talisman of Kalecgos,,Off Hand,,,,Badge of Justice,G'eras,,0,Druid,Balance,BIS,https://wowhead.com/item=29271,Dungeon Token,25,B
29273,Khadgar's Knapsack,,Off Hand,,,,Badge of Justice,G'eras,,0,Druid,Balance,Alt,https://wowhead.com/item=29273,Dungeon Token,25,B
28412,Lamp of Peaceful Radiance,,Off Hand,,,,Harbinger Skyriss,The Arcatraz,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=28412,Drop,0,B
23049,Sapphiron's Left Eye,,Off Hand,,,,Sapphiron,Naxxramas,,0,Druid,Balance,Alt,https://wowhead.com/item=23049,Drop,0,B
28187,Star-Heart Lamp,,Off Hand,,,,Temporus,The Black Morass,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=28187,Drop,0,B
28260,Manual of the Nethermancer,,Off Hand,,,,Nethermancer Sepethrea,The Mechanar,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=28260,Drop,0,B
29330,The Saga of Terokk,,Off Hand,,,,Terokk's Legacy,Sethekk Halls,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=29330,Quest,0,B
24557,Gladiator's War Staff,,Two Hand,,,,Arena Points,Arena Vendor,,0,Druid,Balance,Alt,https://wowhead.com/item=24557,PvP,?,B
29355,Terokk's Shadowstaff,,Two Hand,,,,Talon King Ikiss,Sethekk Halls (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=29355,Drop,0,B
27842,Grand Scepter of the Nexus-Kings,,Two Hand,,,,Nexus-Prince Shaffar,Mana Tombs (H),Heroic,0,Druid,Balance,Alt,https://wowhead.com/item=27842,Drop,0,B
29130,Auchenai Staff,,Two Hand,,,,The Aldor,Revered,,0,Druid,Balance,Alt,https://wowhead.com/item=29130,Reputation,0,B
28935,High Warlord's War Staff,,Two Hand,,,,Honor Points,PvP Vendor,,0,Druid,Balance,Alt,https://wowhead.com/item=28935,PvP,?,B
28341,Warpstaff of Arcanum,,Two Hand,,,,Warp Splinter,The Botanica,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=28341,Drop,0,B
31308,The Bringer of Death,,Two Hand,,,,World Drop,,,0,Druid,Balance,Alt,https://wowhead.com/item=31308,Drop,0,B
28188,Bloodfire Greatstaff,,Two Hand,,,,Aeonus,The Black Morass,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=28188,Drop,0,B
27518,Ivory Idol of the Moongoddess,,Ranged/Relic,,,,Grand Warlock Nethekurse,The Shattered Halls,Normal,0,Druid,Balance,BIS,https://wowhead.com/item=27518,Drop,0,B
23197,Idol of the Moon,,Ranged/Relic,,,,World Drop,,,0,Druid,Balance,Alt,https://wowhead.com/item=23197,Drop,0,B
32387,Idol of the Raven Goddess,,Ranged/Relic,,,,Vanquish the Raven God,Zangarmarsh,,0,Druid,Balance,Alt,https://wowhead.com/item=32387,Quest,0,B
29093,Antlers of Malorne,,Head,,,,Prince Malchezaar,Karazhan,,1,Druid,Balance,BIS,https://wowhead.com/item=29093,Tier Token,29761,B
31110,Druidic Helmet of Second Sight,,Head,,,,"Teron Gorefiend, I am.",Shadowmoon Valley,,1,Druid,Balance,Alt,https://wowhead.com/item=31110,Quest,0,B
28744,Uni-Mind Headdress,,Head,,,,Netherspite,Karazhan,,1,Druid,Balance,Alt,https://wowhead.com/item=28744,Drop,0,B
28804,Collar of Cho'gall,,Head,,,,Gruul the Dragonkiller,Gruul's Lair,,1,Druid,Balance,Alt,https://wowhead.com/item=28804,Drop,0,B
23828,Gnomish Power Goggles,,Head,,,,Engineering (375),30574,,1,Druid,Balance,Alt,https://wowhead.com/item=23828,Profession,0,B
28169,Mag'hari Ritualist's Horns,,Head,,,,Hero of the Mag'har,Nagrand,,1,Druid,Balance,Alt,https://wowhead.com/item=28169,Quest,0,H
24266,Spellstrike Hood,,Head,,,,Tailoring (375),31455,,1,Druid,Balance,Alt,https://wowhead.com/item=24266,Profession,0,B
32089,Mana-Binders Cowl,,Head,,,,Badge of Justice,G'eras,,1,Druid,Balance,Alt,https://wowhead.com/item=32089,Dungeon Token,50,B
28137,Gladiator's Wyrmhide Helm,,Head,,,,Honor Points,PvP Vendor,,1,Druid,Balance,Alt,https://wowhead.com/item=28137,PvP,?,B
28278,Incanter's Cowl,,Head,,,,Pathaleon the Calculator,The Mechanar,Normal,1,Druid,Balance,Alt,https://wowhead.com/item=28278,Drop,0,B
28415,Hood of Oblivion,,Head,,,,Harbinger Skyriss,The Arcatraz,Normal,1,Druid,Balance,Alt,https://wowhead.com/item=28415,Drop,0,B
29095,Pauldrons of Malorne,,Shoulder,,,,High King Maulgar,Gruul's Lair,,1,Druid,Balance,BIS,https://wowhead.com/item=29095,Tier Token,29764,B
27994,Mantle of Three Terrors,,Shoulder,,,,Chrono Lord Deja,The Black Morass,Normal,1,Druid,Balance,Alt,https://wowhead.com/item=27994,Drop,0,B
27796,Mana-Etched Spaulders,,Shoulder,,,,Quagmirran,The Slave Pens (H),Heroic,1,Druid,Balance,Alt,https://wowhead.com/item=27796,Drop,0,B
28139,Gladiator's Wyrmhide Spaulders,,Shoulder,,,,Honor Points,PvP Vendor,,1,Druid,Balance,Alt,https://wowhead.com/item=28139,PvP,?,B
27778,Spaulders of Oblivion,,Shoulder,,,,Murmur,Shadow Labyrinth,Normal,1,Druid,Balance,Alt,https://wowhead.com/item=27778,Drop,0,B
27738,Incanter's Pauldrons,,Shoulder,,,,Warlord Kalithresh,The Steamvault,Normal,1,Druid,Balance,Alt,https://wowhead.com/item=27738,Drop,0,B
30925,Spaulders of the Torn-heart,,Shoulder,,,,The Cipher of Damnation - The Third Fragment Recovered,Shadowmoon Valley,,1,Druid,Balance,Alt,https://wowhead.com/item=30925,Quest,0,B
31797,Elekk Hide Spaulders,,Shoulder,,,,The Fallen Exarch,Terokkar Forest,,1,Druid,Balance,Alt,https://wowhead.com/item=31797,Quest,0,B
28766,Ruby Drape of the Mysticant,,Back,,,,Prince Malchezaar,Karazhan,,1,Druid,Balance,BIS,https://wowhead.com/item=28766,Drop,0,B
28570,Shadow-Cloak of Dalaran,,Back,,,,Moroes,Karazhan,,1,Druid,Balance,Alt,https://wowhead.com/item=28570,Drop,0,B
30735,Ancient Spellcloak of the Highborne,,Back,,,,Doom Lord Kazzak,World Bosses,,1,Druid,Balance,Alt,https://wowhead.com/item=30735,Drop,0,B
31140,Cloak of Entropy,,Back,,,,World Drop,,,1,Druid,Balance,Alt,https://wowhead.com/item=31140,Drop,0,B
28797,Brute Cloak of the Ogre-Magi,,Back,,,,High King Maulgar,Gruul's Lair,,1,Druid,Balance,Alt,https://wowhead.com/item=28797,Drop,0,B
29369,Shawl of Shifting Probabilities,,Back,,,,Badge of Justice,G'eras,,1,Druid,Balance,Alt,https://wowhead.com/item=29369,Dungeon Token,25,B
27981,Sethekk Oracle Cloak,,Back,,,,Talon King Ikiss,Sethekk Halls,Normal,1,Druid,Balance,Alt,https://wowhead.com/item=27981,Drop,0,B
24252,Cloak of the Black Void,,Back,,,,Tailoring (350),31438,,1,Druid,Balance,Alt,https://wowhead.com/item=24252,Profession,0,B
25777,Ogre Slayer's Cover,,Back,,,,Cho'war the Pillager,Nagrand,,1,Druid,Balance,Alt,https://wowhead.com/item=25777,Quest,0,B
21848,Spellfire Robe,,Chest,,,,Tailoring (375),26754,,1,Druid,Balance,BIS,https://wowhead.com/item=21848,Profession,0,B
29091,Chestpiece of Malorne,,Chest,,,,Magtheridon,Magtheridon's Lair,,1,Druid,Balance,BIS,https://wowhead.com/item=29091,Tier Token,29753,B
29341,Auchenai Anchorite's Robe,,Chest,,,,Everything Will Be Alright,Auchenai Crypts,Normal,1,Druid,Balance,Alt,https://wowhead.com/item=29341,Quest,0,B
31340,Will of Edward the Odd,,Chest,,,,World Drop,,,1,Druid,Balance,Alt,https://wowhead.com/item=31340,Drop,0,B
29522,Windhawk Hauberk,,Chest,,,,Leatherworking (375),35585,,1,Druid,Balance,Alt,https://wowhead.com/item=29522,Profession,0,B
28342,Warp Infused Drape,,Chest,,,,Warp Splinter,The Botanica,Normal,1,Druid,Balance,Alt,https://wowhead.com/item=28342,Drop,0,B
31297,Robe of the Crimson Order,,Chest,,,,World Drop,,,1,Druid,Balance,Alt,https://wowhead.com/item=31297,Drop,0,B
28140,Gladiator's Wyrmhide Tunic,,Chest,,,,Honor Points,PvP Vendor,,1,Druid,Balance,Alt,https://wowhead.com/item=28140,PvP,?,B
29129,Anchorite's Robes,,Chest,,,,The Aldor,Honored,,1,Druid,Balance,Alt,https://wowhead.com/item=29129,Reputation,0,B
28229,Incanter's Robe,,Chest,,,,Warp Splinter,The Botanica,Normal,1,Druid,Balance,Alt,https://wowhead.com/item=28229,Drop,0,B
29523,Windhawk Bracers,,Wrist,,,,Leatherworking (375),35588,,1,Druid,Balance,BIS,https://wowhead.com/item=29523,Profession,0,B
24250,Bracers of Havok,,Wrist,,,,Tailoring (350),31435,,1,Druid,Balance,BIS,https://wowhead.com/item=24250,Profession,0,B
29240,Bands of Negation,,Wrist,,,,Nexus-Prince Shaffar,Mana Tombs (H),Heroic,1,Druid,Balance,Alt,https://wowhead.com/item=29240,Drop,0,B
28453,Bracers of the White Stag,,Wrist,,,,Attumen the Huntsman,Karazhan,,1,Druid,Balance,Alt,https://wowhead.com/item=28453,Drop,0,B
27462,Crimson Bracers of Gloom,,Wrist,,,,Omor the Unscarred,Hellfire Ramparts (H),Heroic,1,Druid,Balance,Alt,https://wowhead.com/item=27462,Drop,0,B
28174,Shattrath Wraps,,Wrist,,,,The Soul Devices,Shadow Labyrinth,Normal,1,Druid,Balance,Alt,https://wowhead.com/item=28174,Quest,0,B
28515,Bands of Nefarious Deeds,,Wrist,,,,Maiden of Virtue,Karazhan,,1,Druid,Balance,Alt,https://wowhead.com/item=28515,Drop,0,B
29255,Bands of Rarefied Magic,,Wrist,,,,Warchief Kargath Bladefist,The Shattered Halls (H),Heroic,1,Druid,Balance,Alt,https://wowhead.com/item=29255,Drop,0,B
21847,Spellfire Gloves,,Hands,,,,Tailoring (365),26753,,1,Druid,Balance,BIS,https://wowhead.com/item=21847,Profession,0,B
